strategy_id,strategy_hash,strategy_type,symbol,timeframe,constraints,period,std_dev,trace_path,total_return,sharpe_ratio,max_drawdown,num_trades
SPY_5m_strategy_73,a0135f1061c2,bollinger_bands,SPY_5m,1m,,24,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_73.parquet,-0.012346985577788017,-0.3273087502655523,-0.03654936952914978,805
SPY_5m_strategy_74,2d276ef09977,bollinger_bands,SPY_5m,1m,,24,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_74.parquet,-0.0019450259847543228,-0.09425288406115664,-0.014857166339505401,393
SPY_5m_strategy_75,b018a6fd2f3b,bollinger_bands,SPY_5m,1m,,25,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_75.parquet,0.12410297549186855,1.2019980328523339,-0.04699905498725332,2789
SPY_5m_strategy_76,9998eed964f5,bollinger_bands,SPY_5m,1m,,25,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_76.parquet,0.14733479914870107,1.6213317047939944,-0.04730013355060558,2537
SPY_5m_strategy_77,a2e4b74d4249,bollinger_bands,SPY_5m,1m,,25,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_77.parquet,0.04439353466482121,0.7722226100763251,-0.05918538879933366,1554
SPY_5m_strategy_78,834bed6f6b13,bollinger_bands,SPY_5m,1m,,25,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_78.parquet,-0.024510446191067015,-0.66252642035261,-0.04549468435161885,813
SPY_5m_strategy_79,0ed948707371,bollinger_bands,SPY_5m,1m,,25,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_79.parquet,-0.0045847888124176395,-0.2188544378492192,-0.019097473393232534,405
SPY_5m_strategy_80,aee7e28d2d29,bollinger_bands,SPY_5m,1m,,26,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_80.parquet,0.14959717428678965,1.4234870747699286,-0.04461732286720399,2745
SPY_5m_strategy_81,8722b4247191,bollinger_bands,SPY_5m,1m,,26,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_81.parquet,0.1417074173637749,1.559306476377849,-0.04771067910706339,2526
SPY_5m_strategy_82,f69c71178b53,bollinger_bands,SPY_5m,1m,,26,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_82.parquet,0.02841351315248808,0.530843561985062,-0.05896877105280418,1549
SPY_5m_strategy_83,7f947d4b463c,bollinger_bands,SPY_5m,1m,,26,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_83.parquet,-0.012053646004782426,-0.2957363746483237,-0.04757746593052037,810
SPY_5m_strategy_84,0a778eb7bcce,bollinger_bands,SPY_5m,1m,,26,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_84.parquet,-0.008377702882546356,-0.3928080526491768,-0.01930616462064716,407
SPY_5m_strategy_85,916f54433143,bollinger_bands,SPY_5m,1m,,27,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_85.parquet,0.15995567255140508,1.5071752705324273,-0.04505821863263204,2727
SPY_5m_strategy_86,bff1964a1e5d,bollinger_bands,SPY_5m,1m,,27,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_86.parquet,0.13768373194888128,1.5157574056210086,-0.04660449277739254,2492
SPY_5m_strategy_87,8c513a0e511c,bollinger_bands,SPY_5m,1m,,27,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_87.parquet,0.016548453634011473,0.31741799528073467,-0.06612682150707405,1551
SPY_5m_strategy_88,a844edc0133c,bollinger_bands,SPY_5m,1m,,27,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_88.parquet,-0.0010165035383750132,-0.007818227044450418,-0.04481347371360722,810
SPY_5m_strategy_89,8617e749fbb7,bollinger_bands,SPY_5m,1m,,27,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_89.parquet,-0.013576791109223052,-0.6383970518878734,-0.021888133440706392,399
SPY_5m_strategy_90,99ba9aeafcd7,bollinger_bands,SPY_5m,1m,,28,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_90.parquet,0.16803586111405777,1.5751728793624726,-0.045192465249028424,2711
SPY_5m_strategy_91,00c46ab7a34d,bollinger_bands,SPY_5m,1m,,28,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_91.parquet,0.13437643657793075,1.4699634087483004,-0.05008801315668954,2458
SPY_5m_strategy_92,cb819834437d,bollinger_bands,SPY_5m,1m,,28,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_92.parquet,0.003033672521369324,0.08092393213610326,-0.07608202120169061,1526
SPY_5m_strategy_93,95e25a4feb8e,bollinger_bands,SPY_5m,1m,,28,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_93.parquet,-0.005178007694769282,-0.1152954102946855,-0.04332234462716167,818
SPY_5m_strategy_94,f7bf3891057b,bollinger_bands,SPY_5m,1m,,28,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_94.parquet,-0.009844641488514716,-0.44801090982884667,-0.0214863970218655,419
SPY_5m_strategy_95,569295355819,bollinger_bands,SPY_5m,1m,,29,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_95.parquet,0.15694369784639894,1.4819812474409422,-0.042131918796858736,2681
SPY_5m_strategy_96,e39754500c70,bollinger_bands,SPY_5m,1m,,29,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_96.parquet,0.1264872373564998,1.3857168782529208,-0.050676693527899164,2430
SPY_5m_strategy_97,ba3731f3d147,bollinger_bands,SPY_5m,1m,,29,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_97.parquet,0.011806534901203536,0.23541798450731558,-0.07393160403353127,1536
SPY_5m_strategy_98,3e6c81c24d71,bollinger_bands,SPY_5m,1m,,29,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_98.parquet,0.0013231302931393518,0.05129770014175821,-0.050432868735295955,804
SPY_5m_strategy_99,e23f73a1a999,bollinger_bands,SPY_5m,1m,,29,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_99.parquet,-0.008169618199759476,-0.3687920758272317,-0.022107119693323574,425
SPY_5m_strategy_100,09ec9f49753c,bollinger_bands,SPY_5m,1m,,30,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_100.parquet,0.17515931773518445,1.627894093899508,-0.037705324973569154,2675
SPY_5m_strategy_101,13aea1255ea7,bollinger_bands,SPY_5m,1m,,30,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_101.parquet,0.1263975682567735,1.3855915228260895,-0.05018699076463995,2432
SPY_5m_strategy_102,1941bec06c3a,bollinger_bands,SPY_5m,1m,,30,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_102.parquet,0.020063786916238557,0.3669568620806196,-0.07592136989049947,1524
SPY_5m_strategy_103,1d7a3e053fd6,bollinger_bands,SPY_5m,1m,,30,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_103.parquet,-0.005999743142069747,-0.12111328464760182,-0.04863796855575531,802
SPY_5m_strategy_104,f323d58803c3,bollinger_bands,SPY_5m,1m,,30,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_104.parquet,-0.006719806100870196,-0.2997237868789092,-0.022078351474793756,425
SPY_5m_strategy_105,203fc1421563,bollinger_bands,SPY_5m,1m,,31,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_105.parquet,0.16761832008585698,1.56469759042116,-0.03763307398363447,2620
SPY_5m_strategy_106,9fd39ed6212b,bollinger_bands,SPY_5m,1m,,31,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_106.parquet,0.10144437783753957,1.1433150714524332,-0.05254556906568153,2356
SPY_5m_strategy_107,11129fcb7fa5,bollinger_bands,SPY_5m,1m,,31,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_107.parquet,0.015684649591783284,0.3037078833655131,-0.07059299315479972,1514
SPY_5m_strategy_108,5b7b08275e14,bollinger_bands,SPY_5m,1m,,31,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_108.parquet,-0.015652353331861657,-0.3449767855717296,-0.05290176370510846,818
SPY_5m_strategy_109,121b0501bf35,bollinger_bands,SPY_5m,1m,,31,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_109.parquet,-0.013373156460755542,-0.5990391806323654,-0.02403352567482142,427
SPY_5m_strategy_110,fc9943afab8c,bollinger_bands,SPY_5m,1m,,32,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_110.parquet,0.1655182152245518,1.545053972236761,-0.03620037905422824,2614
SPY_5m_strategy_111,fff5e7d20b65,bollinger_bands,SPY_5m,1m,,32,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_111.parquet,0.09879401942350752,1.1159034432977293,-0.056227917544415584,2340
SPY_5m_strategy_112,d55aece22ad2,bollinger_bands,SPY_5m,1m,,32,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_112.parquet,0.01202045568491994,0.23719974913610897,-0.0817967832519434,1488
SPY_5m_strategy_113,d39dbfbbb6ae,bollinger_bands,SPY_5m,1m,,32,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_113.parquet,0.0027036380378913094,0.08258429552206571,-0.04232728906029115,834
SPY_5m_strategy_114,106f5e37af28,bollinger_bands,SPY_5m,1m,,32,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_114.parquet,-0.022828776847632848,-0.7307397391028454,-0.03244955295653884,419
SPY_5m_strategy_115,d758885db870,bollinger_bands,SPY_5m,1m,,33,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_115.parquet,0.15614151475665694,1.4649750408316928,-0.038575687392471414,2570
SPY_5m_strategy_116,e8078f937503,bollinger_bands,SPY_5m,1m,,33,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_116.parquet,0.08381948342866719,0.9498235372363133,-0.05787339096604249,2298
SPY_5m_strategy_117,702487ba1156,bollinger_bands,SPY_5m,1m,,33,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_117.parquet,-0.013033850229221544,-0.20667714284825436,-0.079736380667212,1467
SPY_5m_strategy_118,fa1bf8b05174,bollinger_bands,SPY_5m,1m,,33,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_118.parquet,0.002944869476788181,0.08831841135733232,-0.03880250970473709,831
SPY_5m_strategy_119,d31ea79e7946,bollinger_bands,SPY_5m,1m,,33,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_119.parquet,-0.03665734790173669,-1.187925437714281,-0.04268945922487266,411
SPY_5m_strategy_120,67e6717e7708,bollinger_bands,SPY_5m,1m,,34,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_120.parquet,0.18410529837277623,1.6979161364449964,-0.03557206166639326,2553
SPY_5m_strategy_121,22cfbee2a806,bollinger_bands,SPY_5m,1m,,34,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_121.parquet,0.09659234079157941,1.0823323204453037,-0.054407778160159515,2264
SPY_5m_strategy_122,05f08270acc6,bollinger_bands,SPY_5m,1m,,34,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_122.parquet,-0.012145055967688223,-0.18929536010905498,-0.07680189014177086,1437
SPY_5m_strategy_123,ea897ab3a2f1,bollinger_bands,SPY_5m,1m,,34,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_123.parquet,0.008347608998229505,0.21287504606570476,-0.0361904054440223,817
