strategy_idx,trades,trades_per_day,win_rate,total_return,annual_return,avg_return,avg_bars_held,sr_period,min_touches,bounce_threshold,exit_threshold
93,539,1.761437908496732,0.48794063079777367,-0.018645174213441695,-0.02221501531810821,-3.193994725188099e-05,1.9833024118738405,25.0,4.0,0.005,0.0015
94,393,1.2843137254901962,0.4631043256997455,-0.042778949900724506,-0.050848170707962326,-0.00010905065946373706,1.9516539440203562,25.0,4.0,0.005,0.002
95,294,0.9607843137254902,0.4489795918367347,-0.027099505460665085,-0.032261222808911416,-9.138146836827923e-05,1.9285714285714286,25.0,4.0,0.005,0.0025
112,773,2.526143790849673,0.47089262613195343,-0.06424920507010867,-0.0762041037152279,-8.227736232592944e-05,2.1138421733505823,30.0,3.0,0.002,0.001
113,539,1.761437908496732,0.48794063079777367,-0.018645174213441695,-0.02221501531810821,-3.193994725188099e-05,1.9833024118738405,30.0,3.0,0.002,0.0015
114,393,1.2843137254901962,0.4631043256997455,-0.042778949900724506,-0.050848170707962326,-0.00010905065946373706,1.9516539440203562,30.0,3.0,0.002,0.002
115,294,0.9607843137254902,0.4489795918367347,-0.027099505460665085,-0.032261222808911416,-9.138146836827923e-05,1.9285714285714286,30.0,3.0,0.002,0.0025
132,810,2.6470588235294117,0.46296296296296297,-0.06961601506921944,-0.08252471755848068,-8.506377676265974e-05,2.196296296296296,30.0,4.0,0.003,0.001
133,577,1.8856209150326797,0.4800693240901213,-0.0043561224690231715,-0.0051973919515466704,-4.1418486282150385e-06,2.0779896013864816,30.0,4.0,0.003,0.0015
134,427,1.3954248366013071,0.45433255269320844,-0.021627464146617426,-0.0257607649287509,-4.85119143599571e-05,2.072599531615925,30.0,4.0,0.003,0.002
135,326,1.065359477124183,0.43558282208588955,-0.010717163018105436,-0.012778988666772406,-3.0324981863487484e-05,2.088957055214724,30.0,4.0,0.003,0.0025
152,810,2.6470588235294117,0.46296296296296297,-0.06961601506921944,-0.08252471755848068,-8.506377676265974e-05,2.196296296296296,35.0,2.0,0.004,0.001
153,577,1.8856209150326797,0.4800693240901213,-0.0043561224690231715,-0.0051973919515466704,-4.1418486282150385e-06,2.0779896013864816,35.0,2.0,0.004,0.0015
154,427,1.3954248366013071,0.45433255269320844,-0.021627464146617426,-0.0257607649287509,-4.85119143599571e-05,2.072599531615925,35.0,2.0,0.004,0.002
155,326,1.065359477124183,0.43558282208588955,-0.010717163018105436,-0.012778988666772406,-3.0324981863487484e-05,2.088957055214724,35.0,2.0,0.004,0.0025
172,810,2.6470588235294117,0.46296296296296297,-0.06961601506921944,-0.08252471755848068,-8.506377676265974e-05,2.196296296296296,35.0,3.0,0.005,0.001
173,577,1.8856209150326797,0.4800693240901213,-0.0043561224690231715,-0.0051973919515466704,-4.1418486282150385e-06,2.0779896013864816,35.0,3.0,0.005,0.0015
174,427,1.3954248366013071,0.45433255269320844,-0.021627464146617426,-0.0257607649287509,-4.85119143599571e-05,2.072599531615925,35.0,3.0,0.005,0.002
175,326,1.065359477124183,0.43558282208588955,-0.010717163018105436,-0.012778988666772406,-3.0324981863487484e-05,2.088957055214724,35.0,3.0,0.005,0.0025
192,824,2.69281045751634,0.45995145631067963,-0.07370200248866954,-0.08733214855540405,-8.868354450613807e-05,2.304611650485437,40.0,2.0,0.002,0.001
