strategy_idx,strategy_name,trades,trades_per_day,win_rate,total_return,annual_return,avg_return,avg_bars_held,sr_period,min_touches,bounce_threshold,target_threshold
98,SPY_15m_compiled_strategy_98,975,3.1862745098039214,0.5025641025641026,-0.06421683117463384,-0.07616595490157307,-6.412917071567641e-05,2.3076923076923075,35.0,4.0,0.003,0.0015
99,SPY_15m_compiled_strategy_99,772,2.522875816993464,0.49352331606217614,-0.047655141069340545,-0.05661661148192065,-5.9200435094920876e-05,2.2292746113989637,35.0,4.0,0.003,0.002
100,SPY_15m_compiled_strategy_100,579,1.892156862745098,0.47668393782383417,-0.07485562670361545,-0.08868872041618647,-0.00012975917172908138,2.250431778929188,35.0,4.0,0.003,0.0025
101,SPY_15m_compiled_strategy_101,480,1.5686274509803921,0.48333333333333334,-0.039205672132153424,-0.04661743599624946,-7.817782597538015e-05,2.220833333333333,35.0,4.0,0.003,0.003
102,SPY_15m_compiled_strategy_102,313,1.022875816993464,0.4792332268370607,-0.001568510965533676,-0.0018719333230657886,5.876976669239643e-07,2.246006389776358,35.0,4.0,0.003,0.004
103,SPY_15m_compiled_strategy_103,219,0.7156862745098039,0.4474885844748858,-0.031619999677795274,-0.03762596412638741,-0.00014356753908378015,2.0821917808219177,35.0,4.0,0.003,0.005
104,SPY_15m_compiled_strategy_104,1444,4.718954248366013,0.5221606648199446,-0.036922909688418826,-0.04391306597428035,-2.2345083450099797e-05,2.685595567867036,35.0,4.0,0.004,0.0005
105,SPY_15m_compiled_strategy_105,1218,3.980392156862745,0.5032840722495895,-0.11272625514562906,-0.13303780085375438,-9.449898518240957e-05,2.412151067323481,35.0,4.0,0.004,0.001
106,SPY_15m_compiled_strategy_106,980,3.2026143790849675,0.5040816326530613,-0.07920350397605724,-0.09379853819000716,-8.00886922483474e-05,2.326530612244898,35.0,4.0,0.004,0.0015
107,SPY_15m_compiled_strategy_107,777,2.5392156862745097,0.4929214929214929,-0.06058882795347964,-0.07188916412324176,-7.6161093847433e-05,2.27027027027027,35.0,4.0,0.004,0.002
