strategy_idx,sr_period,min_touches,entry_zone,exit_zone,min_range,total_trades,avg_return_bps,win_rate,long_trades,short_trades,long_return_bps,short_return_bps
189,10,3,0.003,0.002,0.003,1433,-0.3701103294632063,0.4933705512909979,905,528,-0.3231161587583182,-0.4506590500842737
190,10,3,0.003,0.002,0.004,1433,-0.3701103294632063,0.4933705512909979,905,528,-0.3231161587583182,-0.4506590500842737
191,10,3,0.003,0.002,0.005,1285,-0.5523759328596165,0.4840466926070039,757,528,-0.6233224508323786,-0.4506590500842737
192,10,3,0.003,0.0025,0.002,930,-0.6761603047187975,0.4806451612903226,514,416,-0.5980559002301068,-0.7726643044956896
193,10,3,0.003,0.0025,0.003,930,-0.6761603047187975,0.4806451612903226,514,416,-0.5980559002301068,-0.7726643044956896
194,10,3,0.003,0.0025,0.004,930,-0.6761603047187975,0.4806451612903226,514,416,-0.5980559002301068,-0.7726643044956896
195,10,3,0.003,0.0025,0.005,930,-0.6761603047187975,0.4806451612903226,514,416,-0.5980559002301068,-0.7726643044956896
196,10,3,0.003,0.003,0.002,590,-1.0301144868493257,0.4694915254237288,305,285,-1.0384647915989509,-1.0211781958014814
197,10,3,0.003,0.003,0.003,590,-1.0301144868493257,0.4694915254237288,305,285,-1.0384647915989509,-1.0211781958014814
198,10,3,0.003,0.003,0.004,590,-1.0301144868493257,0.4694915254237288,305,285,-1.0384647915989509,-1.0211781958014814
199,10,3,0.003,0.003,0.005,590,-1.0301144868493257,0.4694915254237288,305,285,-1.0384647915989509,-1.0211781958014814
200,10,4,0.001,0.001,0.002,3117,-0.8998828297653211,0.47866538338145653,1619,1498,-0.8244558265277969,-0.9814024013551419
201,10,4,0.001,0.001,0.003,2689,-1.027563961571564,0.4730383042023057,1274,1415,-1.0020813293313198,-1.0505073350514729
202,10,4,0.001,0.001,0.004,2049,-0.9244405503462442,0.47242557345046365,969,1080,-1.1696936051631488,-0.7043940594966324
203,10,4,0.001,0.001,0.005,1503,-0.8398662714620632,0.46773120425815035,717,786,-0.9864075154266927,-0.7061893351737181
204,10,4,0.001,0.0015,0.002,1747,-1.0122995080177632,0.4527761877504293,850,897,-0.8892243085866923,-1.1289259511798706
205,10,4,0.001,0.0015,0.003,1747,-1.0122995080177632,0.4527761877504293,850,897,-0.8892243085866923,-1.1289259511798706
206,10,4,0.001,0.0015,0.004,1683,-0.9911415369394114,0.45513963161021986,814,869,-0.8531430469227889,-1.1204059453094122
207,10,4,0.001,0.0015,0.005,1360,-0.959102203112833,0.45,658,702,-0.6934504182737676,-1.2081034487312163
208,10,4,0.001,0.002,0.002,1033,-0.568667946091354,0.4530493707647628,500,533,-0.5253401864730902,-0.6093131239696502
209,10,4,0.001,0.002,0.003,1033,-0.568667946091354,0.4530493707647628,500,533,-0.5253401864730902,-0.6093131239696502
210,10,4,0.001,0.002,0.004,1033,-0.568667946091354,0.4530493707647628,500,533,-0.5253401864730902,-0.6093131239696502
