strategy_id,strategy_hash,strategy_type,symbol,timeframe,constraints,period,std_dev,trace_path,total_return,sharpe_ratio,max_drawdown,num_trades,win_rate,avg_return_per_trade,profit_factor,total_execution_cost,pf_bin
SPY_1m_strategy_128,52acf43d5a97,bollinger_bands,SPY_1m,1m,,37,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_128.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_129,911d853b7980,bollinger_bands,SPY_1m,1m,,37,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_129.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_130,ea707c55ba0f,bollinger_bands,SPY_1m,1m,,37,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_130.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_131,6613ec614cd0,bollinger_bands,SPY_1m,1m,,37,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_131.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_132,4be6b887eb6a,bollinger_bands,SPY_1m,1m,,38,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_132.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_133,bd9099be5311,bollinger_bands,SPY_1m,1m,,38,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_133.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_134,2da25874102c,bollinger_bands,SPY_1m,1m,,38,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_134.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_135,dadf14ae5e7c,bollinger_bands,SPY_1m,1m,,38,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_135.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_136,eaf444435d31,bollinger_bands,SPY_1m,1m,,39,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_136.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_137,ae25ec524428,bollinger_bands,SPY_1m,1m,,39,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_137.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_138,b62de6c472a8,bollinger_bands,SPY_1m,1m,,39,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_138.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_139,3ea67419245e,bollinger_bands,SPY_1m,1m,,39,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_139.parquet,0,0,0,0,0,0,0,0,
